                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.185,                0.78374,                 1.0628,                 0.9616,                0.95956,                0.97932,                 0.6819,                 1.0676,                0.74674,                  1.053,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1266,                 0.7529,                 1.0416,                0.97358,                 0.9484,                0.98153,                0.69625,                 1.0373,                0.72265,                 1.0552,               0.001109,               0.001109,               0.001109
                     47,                 1.1107,                0.74053,                 1.0582,                0.96714,                0.94485,                0.97952,                0.69692,                 1.0207,                0.70313,                  1.043,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1412,                0.75877,                 1.0832,                0.95996,                0.96961,                0.98087,                0.66597,                 1.0931,                0.72006,                 1.0556,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1483,                0.75468,                 1.0415,                0.95738,                0.95956,                0.97688,                0.61707,                  1.281,                 0.7956,                 1.1122,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.229,                0.80026,                 1.0728,                0.95346,                 0.9375,                0.97458,                0.60985,                 1.2164,                 0.8233,                 1.0842,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1297,                0.75052,                 1.0417,                0.97081,                0.95588,                0.97884,                0.69728,                 1.0108,                0.74253,                 1.0397,                0.00101,                0.00101,                0.00101
                     52,                 1.1922,                0.76125,                 1.0627,                0.97258,                0.96324,                0.98179,                0.64691,                 1.1697,                0.71004,                 1.0644,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1356,                0.72783,                 1.0644,                0.96072,                0.96324,                 0.9806,                0.72995,                 0.9339,                0.65758,                 1.0148,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1071,                0.71715,                 1.0487,                0.98488,                0.95805,                0.98354,                0.67424,                 1.1058,                0.68152,                 1.0642,              0.0009506,              0.0009506,              0.0009506
